database_id,name,acronym,order,level,color,structure_database_id_path
15657,"suprachiasmatic nucleus, periventricular part",SCHp,95,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/15657/
15658,terminal subparaventricular area,TSPa,96,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/15658/
15659,intermediate stratum of TSPaA,TSPaAi,97,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/
15660,suprachiasmatic nucleus,SCH,98,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/15660/
15661,core of SCH,SCHc,99,12,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/15660/15661/
15662,anterior hypothalamic nucleus,AH,100,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15659/15662/
15663,superficial stratum of TSPaA,TSPaAs,101,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15663/
15664,shell of SCH,SCHs,102,12,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15663/15664/
15665,tuber cinereum area,TC,103,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15663/15665/
15666,basal part of terminal hypothalamus,THyB,104,5,86522E,/15564/15565/15566/15567/15568/15622/15666/
15667,dorsal part of THyB,THyB-D,105,6,86522E,/15564/15565/15566/15567/15568/15622/15666/15667/
15668,ventricular zone of THyB-D,THyB-Dv,106,9,86522E,/15564/15565/15566/15567/15568/15622/15666/15667/15668/
15669,mantle zone of THyB-D,THyB-Dm,107,9,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/
15670,periventricular stratum of THyB-D,THyB-Dp,108,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15670/
15671,periventricular part of the anterobasal nucleus,ABasp,109,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15670/15671/
15672,periventricular domain associated to VMH,VMHp,110,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15670/15672/
15673,intermediate stratum of THyB-D,THyB-Di,111,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/
15674,core part of the anterobasal nucleus,ABasc,112,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15674/
15675,ventromedial hypothalamic nucleus,VMH,113,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/
15676,dorsomedial part of VMH,VMHdm,114,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15676/
15677,central part of VMH,VMHce,115,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15677/
15678,ventrolateral part of VMH,VMHvl,116,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15678/
15679,shell of VMH,VMHsh,117,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15679/
15680,superficial stratum of THyB-D,THyB-Ds,118,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15680/
15681,shell part of the anterobasal nucleus,ABass,119,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15680/15681/
15682,suboptic nucleus,SbO,120,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15680/15682/
15683,tuberal nucleus,Tu,121,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15680/15683/
15684,intermediate part of THyB,THyB-I,122,6,86522E,/15564/15565/15566/15567/15568/15622/15666/15684/
15685,ventricular zone of THyB-I,THyB-Iv,123,9,86522E,/15564/15565/15566/15567/15568/15622/15666/15684/15685/
15686,mantle zone of THyB-I,THyB-Im,124,9,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/
15687,periventricular stratum of THyB-I,THyB-Ip,125,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15687/
15688,periventricular part of the arcuate nucleus,Arcp,126,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15687/15688/
15689,median eminence,ME,127,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15687/15689/
15690,infundibulum,Inf,128,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15687/15690/
15691,neurohypophysis,NHy,129,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15687/15691/
15692,periventricular domain associated to T-DMH,T-DMHp,130,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15687/15692/
15693,intermediate stratum of THyB-I,THyB-Ii,131,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/
15694,"dorsomedial nucleus, terminal part",T-DMH,132,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/15694/
15695,core of T-DMH,T-DMHc,133,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/15694/15695/
15696,shell of T-DMH,T-DMHs,134,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/15694/15696/
15697,intermediate part of the arcuate nucleus,Arci,135,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/15697/
15698,ventral premammillary nucleus (migrated),PMV,136,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15693/15698/
15699,superficial stratum of THyB-I,THyB-Is,137,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15699/
15700,superficial part of arcuate nucleus,Arcs,138,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15699/15700/
15701,medial tuberal nucleus,MTu,139,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15684/15686/15699/15701/
15702,ventral part of THyB,THyB-V,140,6,86522E,/15564/15565/15566/15567/15568/15622/15666/15702/
15703,ventricular zone of THyB-V,THyB-Vv,141,9,86522E,/15564/15565/15566/15567/15568/15622/15666/15702/15703/
15704,"hypothalamic ventricular organ, terminal part",T-HVO,142,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15703/15704/
15705,mantle zone of THyB-V,THyB-Vm,143,9,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/
15706,periventricular stratum of THyB-V,THyB-Vp,144,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/15706/
15707,"ventral tuberomammillary nucleus, pervientricular part (histaminergic)",VTMp,145,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/15706/15707/
15708,intermediate stratum of THyB-V,THyB-Vi,146,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/15708/
15709,"ventral tuberomammillary nucleus, intermediate part (histaminergic)",VTMi,147,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/15708/15709/
15710,superficial stratum of THyB-V,THyB-Vs,148,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/15710/
15711,"ventral tuberomammillary nucleus, superficial part (histaminergic)",VTMs,149,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15702/15705/15710/15711/
15712,perimammillary part of THyB,THyB-P,150,6,86522E,/15564/15565/15566/15567/15568/15622/15666/15712/
15713,ventricular zone of THyB-P,THyB-Pv,151,9,86522E,/15564/15565/15566/15567/15568/15622/15666/15712/15713/
15714,mammillary recess organ,MRO,152,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15713/15714/
15715,mantle zone of THyB-P,THyB-Pm,153,9,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/
15716,periventricular stratum of THyB-P,THyB-Pp,154,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/15716/
15717,periventricular perimammillary area,PPeM,155,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/15716/15717/
15718,intermediate stratum of THyB-P,THyB-Pi,156,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/15718/
15719,dorsal premammillary nucleus,PMD,157,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/15718/15719/
15720,superficial stratum of THyB-P,THyB-Ps,158,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/15720/
15721,terete nucleus,Te,159,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15712/15715/15720/15721/
15722,mammillary part of THyB,THyB-M,160,6,86522E,/15564/15565/15566/15567/15568/15622/15666/15722/
15723,mammillary area,Mam,161,8,86522E,/15564/15565/15566/15567/15568/15622/15666/15722/15723/
15724,ventricular zone of Mam,Mamv,162,9,86522E,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15724/
15725,mantle zone of Mam,Mamm,163,9,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/
15726,periventricular stratum of Mam,Mamp,164,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15726/
15727,median mammillary nucleus,MnM,165,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15726/15727/
15728,intermediate stratum of Mam,Mami,166,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15728/
15729,medial mammillary nucleus,MM,167,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15728/15729/
15730,medial part of MM,MMm,168,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15728/15729/15730/
15731,lateral part of MM,MMl,169,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15728/15729/15731/
15732,posterior part of MM,MMp,170,12,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15728/15729/15732/
15733,superficial stratum of Mam,Mams,171,10,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15733/
15734,lateral mammillary nucleus,LM,172,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15733/15734/
15735,"ventral tuberomammillary nucleus, migrated part (histaminergic)",VTMm,173,11,975C34,/15564/15565/15566/15567/15568/15622/15666/15722/15723/15725/15733/15735/
15736,floor of terminal hypothalamus,THyF,174,5,6D4226,/15564/15565/15566/15567/15568/15622/15736/
15737,mammillary floor,MamF,175,6,613A1F,/15564/15565/15566/15567/15568/15622/15736/15737/
15738,caudal secondary prosencephalon,CSP,176,3,ED985C,/15564/15565/15566/15567/15738/
15739,telencephalic vesicle,Tel,177,4,ED985C,/15564/15565/15566/15567/15738/15739/
15740,roof plate of evaginated telencephalic vesicle,TelR,178,5,FAB17C,/15564/15565/15566/15567/15738/15739/15740/
15741,caudal septocommissural area,CSCom,179,8,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/
15742,ventricular zone of CSCom,CSComv,180,9,ED985C,/15564/15565/15566/15567/15738/15739/15740/15741/15742/
15743,"subfornical organ, circumventricular ependymal specialization",SFOe,181,11,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/15742/15743/
15744,mantle zone of CSCom,CSComm,182,9,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/15744/
15745,periventricular stratum of CSCom,CSComp,183,10,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/15744/15745/
15746,"subfornical organ, periventricular part",SFOp,184,11,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/15744/15745/15746/
15747,intermediate stratum of CSCom,CSComi,185,10,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/15744/15747/
15748,superficial stratum of CSCom,CSComs,186,10,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15741/15744/15748/
15749,telencephalic choroidal formation,TCh,187,6,FAB17C,/15564/15565/15566/15567/15738/15739/15740/15749/
15750,alar plate of evaginated telencephalic vesicle,TelA,188,5,ED985C,/15564/15565/15566/15567/15738/15739/15750/
15751,subpallium,SPall,189,6,F37321,/15564/15565/15566/15567/15738/15739/15750/15751/
111220534,ventricular zone of SPall,SPallv,190,9,F37321,/15564/15565/15566/15567/15738/15739/15750/15751/111220534/
111220536,mantle zone of SPall,SPallm,191,9,F5853A,/15564/15565/15566/15567/15738/15739/15750/15751/111220536/
15752,subpallial septum,SeSPall,192,7,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/
15753,diagonal part of septum,DgSe,193,8,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/
15754,ventricular zone of DgSe,DgSev,194,9,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15754/
15755,mantle zone of DgSe,DgSem,195,9,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/
15756,periventricular stratum of DgSe,DgSep,196,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15756/
15757,"lateral septal nucleus, ventral part",LSV,197,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15756/15757/
15758,median supracommissural nucleus,MnSC,198,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15756/15758/
15759,intermediate stratum of DgSe,DgSei,199,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15759/
15760,"lateral septal nucleus, intermedio-ventral part",LSIV,200,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15759/15760/
15761,septohypothalamic nucleus,SHy,201,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15759/15761/
15762,superficial stratum of DgSe,DgSes,202,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15762/
15763,vertical nucleus of the diagonal band,VDB,203,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15762/15763/
15764,medial septal nucleus,MS,204,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15755/15762/15764/
15765,pallidal septum,PalSe,205,8,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/
15766,ventricular zone of PalSe,PalSev,206,9,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15766/
15767,mantle zone of PalSe,PalSem,207,9,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/
15768,periventricular stratum of PalSe,PalSep,208,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/15768/
15769,"lateral septal nucleus, intermediate part, periventricular",LSIp,209,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/15768/15769/
15770,intermediate stratum of PalSe,PalSei,210,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/15770/
15771,"lateral septal nucleus, intermedio-intermediate part",LSII,211,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/15770/15771/
15772,lambdoid septal zone,Ld,212,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/15770/15772/
15773,superficial stratum of PalSe,PalSes,213,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15765/15767/15773/
15774,striatal septum,StrSe,214,8,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/
15775,ventricular zone of StrSe,StrSev,215,9,FAA41A,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15775/
15776,mantle zone of StrSe,StrSem,216,9,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/
15777,periventricular part of StrSe,StrSep,217,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15777/
15778,"lateral septal nucleus, dorsal part",LSD,218,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15777/15778/
15779,triangular septal nucleus,TS,219,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15777/15779/
15780,septofimbrial nucleus,SFi,220,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15777/15780/
15781,intermediate part of StrSe,StrSei,221,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15781/
15782,"lateral septal nucleus, intermedio-dorsal part",LSID,222,11,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15781/15782/
15783,superficial part of StrSe,StrSes,223,10,FBB13B,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15774/15776/15783/
15784,paraseptal subpallium,PaSe,224,7,F37321,/15564/15565/15566/15567/15738/15739/15750/15751/15784/
15785,septodiagonal transition area,SeDg,225,8,F37321,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15785/
